"F","P","S","t","tc","replicate_no","space_replicate","dyad_mean_leave_size","dyad_sd_ls","dyad_cv_ls","dyad_mean_leave_times","hyp_mean_leave_size","hyp_sd_ls","hyp_cv_ls","hyp_mean_leave_times","comb_leave_size","fam_combo","replicate_unique"
10,10,2,0.1,0.2,1,5,6.17647058823529,8.84756530152255,1.43246295357984,112.352941176471,27,14.142135623731,0.523782800878924,4.5,20.8235294117647,"10_10_2","10_10_2_0.1_0.2_1"
10,10,2,0.1,0.2,2,1,3.81081081081081,4.69537501660374,1.23211968520807,382.621621621622,6.16,6.81713527321655,1.1066778040936,195.4,2.34918918918919,"10_10_2","10_10_2_0.1_0.2_2"
10,10,2,0.1,0.2,2,2,3.40625,3.25139548204231,0.954538123168385,428.375,12.75,19.5170865312082,1.53075188480064,58.25,9.34375,"10_10_2","10_10_2_0.1_0.2_2"
10,10,2,0.1,0.2,2,3,4,3.66060104354463,0.915150260886156,62.0909090909091,4.09090909090909,3.08073190831482,0.75306779981029,54.4545454545455,0.0909090909090908,"10_10_2","10_10_2_0.1_0.2_2"
10,10,2,0.1,0.2,2,4,4.90909090909091,6.0573021297364,1.23389487827964,64,10.8,13.5535973084639,1.25496271374666,10.4,5.89090909090909,"10_10_2","10_10_2_0.1_0.2_2"
10,10,2,0.1,0.2,2,5,3.78571428571429,4.06066632327885,1.07262884011139,75.9285714285714,10.6,7.50333259292163,0.707861565369965,13,6.81428571428571,"10_10_2","10_10_2_0.1_0.2_2"
10,10,2,0.1,0.2,3,1,3.16949152542373,2.87169625694786,0.906043204063762,339.186440677966,58,0,0,6,54.8305084745763,"10_10_2","10_10_2_0.1_0.2_3"
10,10,2,0.1,0.2,3,2,3.625,3.65630821233519,1.0086367482304,443.575,25.5,13.4350288425444,0.526863876178212,5.5,21.875,"10_10_2","10_10_2_0.1_0.2_3"
10,10,2,0.1,0.2,3,3,3.74358974358974,3.82318377050462,1.02126141814849,453.897435897436,13.25,13.9612559129423,1.05367969154282,8.5,9.50641025641026,"10_10_2","10_10_2_0.1_0.2_3"
10,10,2,0.1,0.2,3,4,4.39393939393939,6.27464836633991,1.42802342130495,503,7.71428571428571,14.2678459681701,1.8495355884665,39.7142857142857,3.32034632034632,"10_10_2","10_10_2_0.1_0.2_3"
10,10,2,0.1,0.2,3,5,4.14285714285714,5.76063138462963,1.39049723077267,484.685714285714,12.75,20.9184926161837,1.64066608754382,12.5,8.60714285714286,"10_10_2","10_10_2_0.1_0.2_3"
10,10,2,0.1,0.2,4,1,6.33333333333333,6.52102825663327,1.02963604052104,333.533333333333,30.5,41.7193000900063,1.36784590459037,3.5,24.1666666666667,"10_10_2","10_10_2_0.1_0.2_4"
10,10,2,0.1,0.2,4,2,4.52380952380952,4.73939919841163,1.04765666491204,259.761904761905,5.88888888888889,7.16666666666667,1.21698113207547,18.6666666666667,1.36507936507937,"10_10_2","10_10_2_0.1_0.2_4"
10,10,2,0.1,0.2,4,3,3.95833333333333,4.46706952541905,1.12852282747429,239,8.28571428571429,15.8083763209497,1.90790748701117,14.4285714285714,4.32738095238095,"10_10_2","10_10_2_0.1_0.2_4"
10,10,2,0.1,0.2,4,4,4.31818181818182,4.68418172593234,1.0847578733738,267.909090909091,10.8,17.2104619345327,1.59356129023451,43.2,6.48181818181818,"10_10_2","10_10_2_0.1_0.2_4"
10,10,2,0.1,0.2,4,5,4.31818181818182,4.45492091358762,1.03166589577819,255.318181818182,13,10.5198225587063,0.809217119900487,7.5,8.68181818181818,"10_10_2","10_10_2_0.1_0.2_4"
10,10,2,0.1,0.2,5,1,5.66666666666667,7.82547731694976,1.38096658534408,95.6666666666667,5.77777777777778,5.40318835914911,0.935167216006576,27.3333333333333,0.111111111111111,"10_10_2","10_10_2_0.1_0.2_5"
10,10,2,0.1,0.2,5,2,3.11111111111111,2.39825644728167,0.770868143769109,105.111111111111,27.5,16.2634559672906,0.591398398810567,6.5,24.3888888888889,"10_10_2","10_10_2_0.1_0.2_5"
10,10,2,0.1,0.2,5,3,4.66666666666667,3.82178761917255,0.81895448982269,135.083333333333,27,16.9705627484771,0.628539361054709,7.5,22.3333333333333,"10_10_2","10_10_2_0.1_0.2_5"
10,10,2,0.1,0.2,5,4,3.73333333333333,3.30511868528341,0.88529964784377,141.8,5.2,8.01110340575989,1.54059680879998,71.8,1.46666666666667,"10_10_2","10_10_2_0.1_0.2_5"
10,10,2,0.1,0.2,5,5,3.29411764705882,2.61640750558741,0.794266564196177,132.411764705882,8.66666666666667,9.85224170768596,1.13679712011761,35.5,5.37254901960784,"10_10_2","10_10_2_0.1_0.2_5"
10,10,2,0.1,0.25,1,1,3.66666666666667,3.87667014699103,1.0572736764521,250.666666666667,6.75,7.77817459305202,1.15232216193363,86.875,3.08333333333333,"10_10_2","10_10_2_0.1_0.25_1"
10,10,2,0.1,0.25,1,2,3.23255813953488,2.6800604941851,0.829083462229924,217.558139534884,7.71428571428571,6.42168943799801,0.832441223444187,32.7142857142857,4.48172757475083,"10_10_2","10_10_2_0.1_0.25_1"
10,10,2,0.1,0.25,1,3,3.725,3.42679861064941,0.919945935744808,228.175,13.75,15.0194318578744,1.09232231693632,8.5,10.025,"10_10_2","10_10_2_0.1_0.25_1"
